Image,Description,Group,LargeTile,Sort Order,backText
images\IMG_8233.jpg,,Studio,,,
images\IMG_8282.jpg,,Studio,,,
images\IMG_8330.jpg,Studio,Studio,1,5,
images\IMG_8353.jpg,,Studio,,,
images\IMG_8392.jpg,,Studio,,,
images\IMG_8573.jpg,,Studio,,,
images\IMG_8583.jpg,,Studio,,,
images\IMG_8834.jpg,,Drawings,,,
images\IMG_8835.jpg,,Drawings,,,
images\IMG_8836.jpg,,Drawings,,,
images\IMG_8837.jpg,,Drawings,,,
images\IMG_8838.jpg,,Drawings,,,
images\IMG_8898.jpg,,Studio,,,
images\IMG_8905.jpg,,Degree Show,,,
images\IMG_8909.jpg,,Degree Show,,,
images\IMG_8910.jpg,,Degree Show,,,
images\IMG_8911.jpg,,Degree Show,,,
images\IMG_8977.JPG,,Degree Show,,,
images\IMG_9189.JPG,,Degree Show,,,
images\IMG_9427.JPG,,,,,
images\IMG_9729.JPG,,Degree Show,,,
images\IMG_9930.JPG,,Degree Show,,,
images\IMG_9931.JPG,,Degree Show,,,
images\IMG_9932.JPG,,Degree Show,,,
images\IMG_9944.JPG,,Degree Show,,,
images\Lily-02.jpeg,,,,,
images\Lily-04.jpeg,,,,,
images\Lily-18.jpeg,,,,,
images\Screenshot 2025-02-21 at 13.37.15.png,,,,,
